Closed,CaseID,Opened,Responsible Agency,Category,Request Type,Request Details,Address,Supervisor District,Neighborhood,Point,Source,Media URL
1.0,5608367,02/26/2016 11:03:35 PM,311 Service Request Queue,General Requests,311CustomerServiceCenter - 311CustomerServiceCenter - request_for_service,311CustomerServiceCenter - 311CustomerServiceCenter - request_for_service,Not associated with a specific address,s0,,,Web Self Service,yes
2.0,5608363,02/26/2016 10:56:36 PM,311 Service Request Queue,General Requests,311CustomerServiceCenter - 311CustomerServiceCenter - request_for_service,311CustomerServiceCenter - 311CustomerServiceCenter - request_for_service,Not associated with a specific address,s0,,,Web Self Service,no
3.0,5608102,02/26/2016 06:28:21 PM,PUC Sewer Ops,Sewer Issues,Sewage_back_up,Sewage_back_up Outofsewervent4inch,"580 SANCHEZ ST, SAN FRANCISCO, CA, 94114",s8,Dolores Heights,"(37.759883938614, -122.430650331627)",Web Self Service,no
1.0,5608087,02/26/2016 06:20:51 PM,PUC - Water - G,Graffiti Public Property,Offensive Graffiti on Public Property,Other_enter_additional_details_below - Offensive,Intersection of CESAR CHAVEZ ST and VALENCIA ST,s9,Mission,"(37.7481252025839, -122.420278896094)",Open311,yes
2.0,5608029,02/26/2016 06:03:26 PM,PUC Sewer Ops,Sewer Issues,Sewage_back_up,Outofsewervent4inch,Intersection of 10TH AVE and LAWTON ST,s7,,"(37.7583977607703, -122.466992527214)",Voice In,no
6.0,5608008,02/26/2016 05:52:35 PM,Police - Homeless Concerns Queue,General Requests,homeless_concerns - homeless_other - request_for_service,homeless_concerns - homeless_other - request_for_service,Intersection of 9TH ST and BRYANT ST,s6,Showplace Square,"(37.7712907116707, -122.408531067804)",Open311,no
1.0,5607999,02/26/2016 05:47:59 PM,Police - Homeless Concerns Queue,General Requests,homeless_concerns - wellbeing_check - request_for_service,homeless_concerns - wellbeing_check - request_for_service,"501 VAN NESS AVE, SAN FRANCISCO, CA, 94102",s5,Civic Center,"(37.780269945856, -122.420524161976)",Open311,no
5.0,5607998,02/26/2016 05:47:06 PM,Police - Homeless Concerns Queue,General Requests,homeless_concerns - wellbeing_check - request_for_service,homeless_concerns - wellbeing_check - request_for_service,"501 VAN NESS AVE, SAN FRANCISCO, CA, 94102",s5,Civic Center,"(37.780269945856, -122.420524161976)",Open311,no
6.0,5607991,02/26/2016 05:43:42 PM,Police - Homeless Concerns Queue,General Requests,homeless_concerns - aggressive_behavior - request_for_service,homeless_concerns - aggressive_behavior - request_for_service,Intersection of DIVISION ST and KING ST,s10,Showplace Square,"(37.7698657718605, -122.402403753235)",Open311,no
2.0,5607941,02/26/2016 05:31:43 PM,311 Supervisor Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Other_enter_additional_details_below - Not_Offensive,"457 26TH AVE, SAN FRANCISCO, CA, 94121",s1,,"(37.780866875, -122.486005328)",Open311,yes
1.0,5607937,02/26/2016 05:30:44 PM,311 Supervisor Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Other_enter_additional_details_below - Not_Offensive,"414 26TH AVE, SAN FRANCISCO, CA, 94121",s1,Outer Richmond,"(37.781432741928, -122.485746640517)",Open311,yes
5.0,5607936,02/26/2016 05:30:24 PM,311 Supervisor Queue,Graffiti Public Property,Offensive Graffiti on Public Property,City_receptacle - Offensive,"2255 HAYES ST, SAN FRANCISCO, CA, 94117",s5,Panhandle,"(37.772883369424, -122.453385642926)",Open311,yes
5.0,5607926,02/26/2016 05:26:49 PM,311 Supervisor Queue,Tree Maintenance,Trees - Tree_Other,Other,"588 SOUTH VAN NESS AVE, SAN FRANCISCO, CA, 94110",s9,Mission,"(37.763851772491, -122.417519922269)",Open311,no
6.0,5607889,02/26/2016 05:13:02 PM,311 Supervisor Queue,Graffiti Private Property,Not_Offensive Graffiti on Private Property,Building_commercial - Not_Offensive,Intersection of 24TH ST and UTAH ST,s10,Potrero Hill,"(37.753063690319, -122.405331104173)",Open311,yes
4.0,5607857,02/26/2016 05:01:23 PM,PUC Sewer Ops,Sewer Issues,Sewage_back_up,Outofsewervent4inch,"1240 HAYES ST, SAN FRANCISCO, CA, 94117",s5,Alamo Square,"(37.775218835633, -122.436882980877)",Open311,no
2.0,5607822,02/26/2016 04:54:19 PM,PUC Sewer Ops,Sewer Issues,Sewage_back_up,Outofsewervent4inch,Intersection of DIVISADERO ST and PAGE ST,s5,Buena Vista,"(37.7722036424076, -122.437234883686)",Voice In,no
7.0,5607734,02/26/2016 04:33:57 PM,DPW Ops Queue,Street and Sidewalk Cleaning,Garbage_and_Debris,Encampment,Intersection of 18TH ST and SHOTWELL ST,s9,Mission,"(37.7620339547501, -122.416078056817)",Open311,yes
5.0,5607649,02/26/2016 04:16:02 PM,DPW Ops Queue,Street and Sidewalk Cleaning,Garbage_and_Debris,Encampment,Intersection of 18TH ST and FOLSOM ST,s9,Mission,"(37.7620990219907, -122.414998461628)",Voice In,no
0.0,5607632,02/26/2016 04:13:41 PM,Recology_Abandoned,Street and Sidewalk Cleaning,Garbage_and_Debris,Electronics,"1051 BUSH ST, SAN FRANCISCO, CA, 94109",s3,Lower Nob Hill,"(37.78914229155, -122.414520756656)",Open311,yes
0.0,5607622,02/26/2016 04:12:06 PM,SFMTA - Parking Enforcement - G,General Requests,mta - parking_enforcement - request_for_service,mta - parking_enforcement - request_for_service,"1280 LAGUNA ST, SAN FRANCISCO, CA, 94115",s5,Cathedral Hill,"(37.782685217354, -122.427364533937)",Other Department,no
5.0,5607619,02/26/2016 04:11:49 PM,DPW Ops Queue,Street and Sidewalk Cleaning,Garbage_and_Debris,Encampment,Intersection of 17TH ST and FOLSOM ST,s9,Mission,"(37.7636968300285, -122.415155221016)",Voice In,no
0.0,5607569,02/26/2016 04:05:01 PM,311 Supervisor Queue,Graffiti Private Property,Not_Offensive Graffiti on Private Property,Building_other - Not_Offensive,"Fillmore and Turk Mini Park, , SAN FRANCISCO, CA, 94115",s5,Western Addition,"(37.780185632, -122.4317799)",Open311,yes
0.0,5607555,02/26/2016 04:02:16 PM,Recology_Abandoned,Street and Sidewalk Cleaning,Garbage_and_Debris,Other_bagged_boxed_contained_garbage,Intersection of LOOMIS ST and OAKDALE AVE,s10,Apparel City,"(37.7425208197451, -122.404306324541)",Open311,yes
